creator, channel
Secular Talk,UCldfgbzNILYZA4dmDt4Cd6A
TheLipTV,UCBeyuzUWyvDAVpS_ibwMwnA
TestTube News,UCgRvm1yLFoaQKhmaTqXk9SA
RT,UCpwvZwUam-URkxB7g4USKpg
VICE,UCn8zNIfYAQNdrFRrr8oibKw
The Young Turks,UC1yBKRuGpC1tSM73A0ZjYjQ
BBC News,UC16niRr50-MSBwiO3YDb3RA
The Big Picture RT,UCY8x1K2FMBw-jm-WCPbcHEg
VICE News,UCZaT_X_mc0BI-djXOlfhqWQ
Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg
Associated Press,UC52X5wxOL_s5yw0dQk7NtgA
ODN,UCME81PohuzT1JMCsEtvsD2w
WeAreChange,UChwwoeOZ3EJPobW83dgQfAg
KRQE,UCJnpF9oROFPvd7wWbPUDdGA
David Pakman Show,UCvixJtaXuNdMPUGdOPcY8Ag
Fox News,UCXIJgqnII2ZOINSWNOGFThA
euronews (in English),UCSrZ3UV4jOidv8ppoVuvW9Q
Reuters,UChqUTb7kYRX8-EiaN3XFrSQ
USA TODAY,UCP6HGa63sBC7-KHtkme-p-g
RT America,UCczrL-2b-gYK3l4yDld4XlQ
Sam Seder,UC-3jIAlnQmbbVMV6gR7K8aQ
Peter Schiff,UCIjuLiLHdFxYtFmWlbTGQRQ
Sky News,UCoMdktPbSTixAyNGwb-UYkQ
CNN,UCupvZG-5ko_eiXAupbDfxWw
FOX 4 News - Dallas-Fort Worth,UCruQg25yVBppUWjza8AlyZA
CBS New York,UCNZyLULUQBp5e9Q1cKtvk6Q
TYT Interviews,UCKw8kdkYfmuNSVehGoDw8Mg
Larry King,UCxzcBfvmeLmUNjlyM7FMgFg
StormChasingVideo,UCWAN-rRJFLosqgiiIFVpkEQ
Journeyman Pictures,UCM2YmsRUeIbRkqjgNm0eTGQ
CBS Los Angeles,UCkH1uDkyuO9sVjSqdqBygOg
Los Angeles Times,UCw3SYO_euO0TSPC_m_0Pzgw
Bloomberg Business,UCUMZ7gohGI9HcU9VNsr2FJQ
The National,UCKjU3KzdbJE1EFcHVqXC3_g
The Daily Conversation,UCWQ9ZFFhEqUZ0r1IspnBm6Q
CBN News,UCYI_ychRnL7sJrG6PUSBpQA
