creator,youtube_name
"Secular Talk",SecularTalk
"TheLipTV",TheLipTV
"TestTube News",TestTubeNetwork
"RT",RussiaToday
"VICE",vice
"The Young Turks",TheYoungTurks
"BBC News",bbcnews
"The Big Picture RT",TheBigPictureRT
"VICE News",vicenews
"Al Jazeera English",AlJazeeraEnglish
"Associated Press",AssociatedPress
"ODN",itnnews
"WeAreChange",wearechange
"KRQE",KRQE
"David Pakman Show",MidweekPolitics
"Fox News",FoxNewsChannel
"euronews (in English)",Euronews
"Reuters",ReutersVideo
"USA TODAY",USATODAY
"RT America",RTAmerica
"Sam Seder",SamSeder
"Peter Schiff",SchiffReport
"Sky News",skynews
"CNN",CNN
"FOX 4 News - Dallas-Fort Worth",myfoxdfw
"CBS New York",CBSNewYork
"TYT Interviews",TYTInterviews
"Larry King",LarryKingNow
"StormChasingVideo",bnvn1
"Journeyman Pictures",journeymanpictures
"CBS Los Angeles",1cbsla
"Los Angeles Times",losangelestimes
"Bloomberg Business",Bloomberg
"The National",CBCTheNational
"The Daily Conversation",TheDailyConversation
"CBN News",CBNnewsonline
"Jesse Ventura",VenturaOffGrid
"Mashable",mashable
"Wall Street Journal",WSJDigitalNetwork
"wochit News",WochitGeneralNews
"Fortune Magazine",FortuneMagazineVideo
"The Next News Network",NextNewsNetwork
"CBC News",cbcnews
"The Telegraph",telegraphtv
"The New York Times",TheNewYorkTimes
"American Heroes Channel",MilitaryChannel
"thomhartmann",thomhartmann
"The Weather Channel",TheWeatherChannel
"KCRA News",kcratv
"TheLipTV2",TheLipTV2
"CNNMoney",CNNMoney
"tpmtv",tpmtv
"Pete Santilli Show",PeterSantilliTV
"Business Insider",businessinsider
"Forbes",forbes
"FRANCE 24 English",france24english
"TIME",TimeMagazine
"Tipsy Bartender",TipsyBartender
"Cookies Cupcakes and Cardio",CupcakesandCardio
"Allrecipes",allrecipes
"Tastemade",tastemade
"Rosanna Pansino",RosannaPansino
"Food Wishes",foodwishes
"Hiroyuki Terada - Diaries of a Master Sushi Chef",NoVeKitchenAndBar
"Mark Wiens",migrationology
"How To Cook That",howtocookthat
"Laura in the Kitchen",LauraVitalesKitchen
"emmymadeinjapan",emmymadeinjapan
"Cooking With Jack Show",jakatak69
"CharlisCraftyKitchen",CharlisCraftyKitchen
"Cooking with Dog",cookingwithdog
"The F Word",theFword
"Kitchen Nightmares",KitchenNightmares
"Sanjeev Kapoor Khazana",sanjeevkapoorkhazana
"Gordon Ramsay",gordonramsay
"BarbecueWeb",BarbecueWeb
"I Heart Recipes",ladyrosie1983
"Maangchi",Maangchi
"Bhavna's Kitchen",SuperVeggieDelight
"Clean & Delicious",danispies
"kawaiisweetworld",kawaiisweetworld
"POPSUGAR Food",popsugartvyum
"HooplaKidz Recipes",HooplaKidzRecipes
"Tasted",tasted
"Feast Of Fiction",feastoffiction
"Divas Can Cook",divascancook
"Rajshri Food",RajshriFood
"madhurasrecipe",madhura94
"Helen's Recipes (Vietnamese Food)",HelenRecipes
"OnePotChefShow",OnePotChefShow
"Nameless",RRcherrypie
"Everyday Food",EverydayFoodVideos
"ChefSteps",chefsteps
"My Virgin Kitchen",myvirginkitchen
"FoodFood",FoodFoodindia
"How To Make Sushi",MakeSushi1
"Kin Community",kincommunity
"SweetAmbsCookies",SweetAmbsCookies
"MyCupcakeAddiction",MyCupcakeaddiction
"Nicko's Kitchen",robjnixon
"SimpleCookingChannel",SimpleCookingChannel
"Joy of Baking",JoyofBaking1
"Scott Rea",TheScottReaproject
"Seonkyoung Longest",SeonkyoungLongest
"caribbeanpot",caribbeanpot
"Entertaining With Beth",EntertainingWithBeth
"Home Cooking Adventure",homecookingvideos
"Pailin's Kitchen",PailinsKitchen
"Gemma Stafford",GemmaStafford
"ByronTalbott",ByronTalbott
"Cake Style",CakeStyleTV
"HellthyJunkFood®",HellthyJunkFood
"Ballistic BBQ",sd4547
"Hilah Cooking",hilahcooking
"Munchies",Munchies
"Artisan Cake Company",lizzomarek
"CupcakeJemma",CupcakeJemma
"ochikeron",ochikeron
"Randy Santel",RandySantel
"Todd's Kitchen",simpleeasycooking
"Rawvana English",rawvanaeng
"Smoky Ribs BBQ & Southern Cuisine",Smokyribs1
"CookWithApril",CookWithApril
"Timothy Ⓥ",99timshi
"Pink Cake Princess",mackandnorm
"NDTV Good Times",ndtvgoodtimes
"Betty's Kitchen",bettyskitchen
"The Art Of Cooking",TheArtOfCooking
"Noreen's Kitchen",atticus9799
"Fit Men Cook",fitmencook
"JapaneseCooking101",JapaneseCooking101
"Mama Rosa RAW VEGAN FOODIST",HairNailsBeautytips
"onelifeonewayvid",onelifeonewayvid
"Haniela's",HanielasBlog
"Angel Wong's Kitchen",angelwongskitchen
"Manjula's Kitchen",Manjulaskitchen
"Julia M Usher",JuliaMUsher
"FOODBEAST",foodbeastTV
"Strictly Dumpling",strictlydumpling
"Montreal Confections",montrealconfections
"Weelicious",jgswife
"Aashpazi.com",theprojectb
"COOK WITH FAIZA",faizarif786
"OurHalfAcreHomestead",TheMrsVolfie
"studiolorien",studiolorien
"Jack On The Go Show",jackonthego
"America's Test Kitchen",americastestkitchen
"Linda's Pantry",255sage
